scenario,start_date,end_date,cumulative_return,max_drawdown,oracle_undershoot_ratio,oracle_undershoot_drop_pct,oracle_undershoot_length_days
compound_drawdown_undershoot_01,2026-01-20,2026-04-01,-0.3392660747234817,-0.4285119031502389,0.85,15.000000000000002,3
compound_drawdown_undershoot_02,2025-12-15,2026-02-24,-0.39530220511382874,-0.4575983105162272,0.85,15.000000000000002,3
compound_drawdown_undershoot_03,2025-12-14,2026-02-23,-0.3726966471741059,-0.4575983105162272,0.85,15.000000000000002,3
compound_drawdown_undershoot_04,2025-10-11,2025-12-21,-0.2238145865869272,-0.3488945764772848,0.85,15.000000000000002,3
compound_drawdown_undershoot_05,2025-09-09,2025-11-19,-0.2766937539892277,-0.3583767894974103,0.85,15.000000000000002,3
compound_drawdown_undershoot_06,2025-09-17,2025-11-27,-0.32786455729409814,-0.4103950635064473,0.85,15.000000000000002,3
compound_drawdown_undershoot_07,2025-10-04,2025-12-14,-0.3101435701473748,-0.4103950635064473,0.85,15.000000000000002,3
compound_drawdown_undershoot_08,2025-09-16,2025-11-26,-0.3468420677710985,-0.4103950635064473,0.85,15.000000000000002,3
compound_drawdown_undershoot_09,2026-01-06,2026-03-18,-0.2819371452444256,-0.4575983105162272,0.85,15.000000000000002,3
compound_drawdown_undershoot_10,2025-11-01,2026-01-11,-0.19866743186988567,-0.2929237315475133,0.85,15.000000000000002,3
