scenario_group,mechanism,window_count,solvency_violation_count,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count,avg_topsis_score,avg_mean_rank
drawdown,buffer,10,2,65.49291580262383,53.22355135146084,627.0252950111658,1076.0143746464187,101,0.6802991725209897,2.37
drawdown,fixed,10,4,139.43022963339004,131.72858466127613,304.39177111841724,1098.5047566702358,156,0.663296876713228,2.57
drawdown,twap,10,4,393.1975091439988,350.8080130108905,0.0,1060.092426904847,150,0.4788970249552639,2.67
drawdown,uspl,10,2,2.1960641814783344,2.1960641814783344,765.9120496861457,1081.2517351993847,101,0.5308513732202035,2.3899999999999997
normal,buffer,10,0,0.0,0.0,0.0,0.0,0,0.3,2.41
normal,fixed,10,0,0.0,0.0,0.0,0.0,0,0.3,2.41
normal,twap,10,0,0.0,0.0,0.0,0.0,0,0.3,2.41
normal,uspl,10,0,0.0,0.0,51.899704143829425,51.899704143829425,5,0.0,2.77
oracle shock,buffer,10,0,0.0,0.0,386.40335396705837,386.40335396705837,10,0.12614617456096971,2.92
oracle shock,fixed,10,0,0.0,0.0,351.6282494177129,351.6282494177129,9,0.22614617456096972,2.7800000000000002
oracle shock,twap,10,0,0.0,0.0,0.0,0.0,0,1.0,1.6300000000000001
oracle shock,uspl,10,0,0.0,0.0,319.90502238038124,319.90502238038124,16,0.19651458653656065,2.67
