scenario,scenario_group,start_date,end_date,initial_price,ending_price,cumulative_return,max_drawdown,volatility,selection_seed
random_normal_01,normal,2026-03-15,2026-05-25,2096.556369062344,2098.138643929662,0.000754701800851576,-0.15651284399373133,0.026670954463059404,20260611
random_normal_02,normal,2026-03-23,2026-06-02,2053.1449566818205,2003.3651516762716,-0.024245635868789472,-0.17250747723860016,0.023356017439980715,20260611
random_normal_03,normal,2026-03-11,2026-05-21,2035.2089486782504,2127.2938085253463,0.04524589964430903,-0.15651284399373133,0.026275058297651817,20260611
random_normal_04,normal,2025-11-19,2026-01-29,3117.2225871583155,3006.807112955534,-0.03542110680759469,-0.16157056560195693,0.029860112168362127,20260611
random_normal_05,normal,2026-03-22,2026-06-01,2078.049212971818,2003.971930485462,-0.03564751114840936,-0.1722568464800711,0.023398721600411277,20260611
random_normal_06,normal,2026-03-14,2026-05-24,2093.00633968562,2115.708147579567,0.010846506990206839,-0.15651284399373133,0.026650958070383295,20260611
random_normal_07,normal,2026-03-13,2026-05-23,2076.5162283684745,2064.3781409811045,-0.005845409355123121,-0.15651284399373133,0.026505197815842468,20260611
random_normal_08,normal,2026-03-16,2026-05-26,2175.059915408281,2111.2088364861415,-0.029356009216028434,-0.15651284399373133,0.026305651575178255,20260611
random_normal_09,normal,2025-11-18,2026-01-28,3021.3021576301335,3021.091516998928,-6.971849229764349e-05,-0.16157056560195693,0.030091699383894527,20260611
random_normal_10,normal,2026-03-12,2026-05-22,2051.7311684113824,2131.694272748801,0.03897348033140835,-0.15651284399373133,0.026261318487020492,20260611
random_drawdown_01,drawdown,2026-01-20,2026-04-01,3185.6644636922747,2104.8765857093113,-0.3392660747234817,-0.4285119031502389,0.04414876544908412,20260611
random_drawdown_02,drawdown,2025-12-15,2026-02-24,3065.491235556364,1853.695790383818,-0.39530220511382874,-0.45759831051622724,0.03899998099980439,20260611
random_drawdown_03,drawdown,2025-12-14,2026-02-23,3115.225428835284,1954.1913563168575,-0.3726966471741059,-0.45759831051622724,0.03863915910153865,20260611
random_drawdown_04,drawdown,2025-10-11,2025-12-21,3835.632842050135,2977.162263207443,-0.2238145865869272,-0.34889457647728483,0.03590387453319406,20260611
random_drawdown_05,drawdown,2025-09-09,2025-11-19,4309.685702772004,3117.2225871583155,-0.2766937539892277,-0.35837678949741036,0.036339232370835556,20260611
random_drawdown_06,drawdown,2025-09-17,2025-11-27,4504.266635522813,3027.477249132549,-0.32786455729409814,-0.4103950635064473,0.03712044855021923,20260611
random_drawdown_07,drawdown,2025-10-04,2025-12-14,4515.759068159723,3115.225428835284,-0.3101435701473748,-0.4103950635064473,0.03846910252993324,20260611
random_drawdown_08,drawdown,2025-09-16,2025-11-26,4524.244939102515,2955.046469321271,-0.3468420677710985,-0.4103950635064473,0.03695147785546488,20260611
random_drawdown_09,drawdown,2026-01-06,2026-03-18,3228.2962247842056,2318.1196031651903,-0.2819371452444256,-0.45759831051622724,0.04375726874698113,20260611
random_drawdown_10,drawdown,2025-11-01,2026-01-11,3847.298177365196,3082.9653288303607,-0.19866743186988567,-0.2929237315475133,0.032225169586029286,20260611
random_oracle_shock_01,oracle shock,2026-03-15,2026-05-25,2096.556369062344,2098.138643929662,0.000754701800851576,-0.15651284399373133,0.026670954463059404,20260611
random_oracle_shock_02,oracle shock,2026-03-23,2026-06-02,2053.1449566818205,2003.3651516762716,-0.024245635868789472,-0.17250747723860016,0.023356017439980715,20260611
random_oracle_shock_03,oracle shock,2026-03-11,2026-05-21,2035.2089486782504,2127.2938085253463,0.04524589964430903,-0.15651284399373133,0.026275058297651817,20260611
random_oracle_shock_04,oracle shock,2025-11-19,2026-01-29,3117.2225871583155,3006.807112955534,-0.03542110680759469,-0.16157056560195693,0.029860112168362127,20260611
random_oracle_shock_05,oracle shock,2026-03-22,2026-06-01,2078.049212971818,2003.971930485462,-0.03564751114840936,-0.1722568464800711,0.023398721600411277,20260611
random_oracle_shock_06,oracle shock,2026-03-14,2026-05-24,2093.00633968562,2115.708147579567,0.010846506990206839,-0.15651284399373133,0.026650958070383295,20260611
random_oracle_shock_07,oracle shock,2026-03-13,2026-05-23,2076.5162283684745,2064.3781409811045,-0.005845409355123121,-0.15651284399373133,0.026505197815842468,20260611
random_oracle_shock_08,oracle shock,2026-03-16,2026-05-26,2175.059915408281,2111.2088364861415,-0.029356009216028434,-0.15651284399373133,0.026305651575178255,20260611
random_oracle_shock_09,oracle shock,2025-11-18,2026-01-28,3021.3021576301335,3021.091516998928,-6.971849229764349e-05,-0.16157056560195693,0.030091699383894527,20260611
random_oracle_shock_10,oracle shock,2026-03-12,2026-05-22,2051.7311684113824,2131.694272748801,0.03897348033140835,-0.15651284399373133,0.026261318487020492,20260611
