scenario,gamma,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc
drawdown,0.5,0.0,0.0,0.0,0.0,1,3.574913291357795,91.4250867086422,5,2.0,2.0,0.0,0.06866441759296382,71.49826582715589
drawdown,0.8,0.0,0.0,0.0,0.0,1,5.046286240596022,89.95371375940398,5,2.0,2.0,0.0,0.08981600886794436,100.92572481192042
drawdown,1.0,0.0,0.0,0.0,0.0,0,0.0,89.08376502546287,5,2.0,2.0,0.0,0.09945484856671613,118.32469949074274
drawdown,1.2,0.0,0.0,0.0,0.0,1,3.4025992620540375,91.59740073794596,6,2.0,2.0,0.0,0.06540841780098809,68.05198524108074
drawdown,1.5,0.0,0.0,0.0,0.0,1,3.681203370539703,91.3187966294603,6,2.0,2.0,0.0,0.06995408795211949,73.62406741079405
drawdown,2.0,0.0,0.0,0.0,0.0,0,0.0,90.52201087777284,7,2.0,2.0,0.0,0.07708475773587492,89.55978244454313
flash_crash,0.5,0.0,0.0,0.0,0.0,1,38.0,38.0,1,3.0,3.0,0.0,0.7050771070211845,1140.0
flash_crash,0.8,0.0,0.0,0.0,0.0,1,32.3,32.3,1,3.0,3.0,0.0,0.7493155409680068,1254.0
flash_crash,1.0,0.0,0.0,0.0,0.0,1,28.5,28.5,1,3.0,3.0,0.0,0.7788078302658884,1330.0
flash_crash,1.2,0.0,0.0,0.0,0.0,2,42.97800000000001,42.97800000000001,2,3.0,3.0,0.0,0.6660896655965971,1040.44
flash_crash,1.5,0.0,0.0,0.0,0.0,2,34.199999999999996,34.199999999999996,2,3.0,3.0,0.0,0.7342762217291596,1216.0
flash_crash,2.0,0.0,0.0,0.0,0.0,2,18.049999999999997,18.049999999999997,2,3.0,3.0,0.0,0.8597467151282402,1539.0
